order_number,order_line_number,order_date,status,product_category,product_code,product_name,msrp,customer_code,customer_name,address,postal_code,region,country,contact_name,phone,email,latlng,quantity,price,sales,target
944790,8,2021-10-10,Delivered,Motorcycles,PC26474-3114,"Honda VF750F ""Interceptor""",66,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",21,64.66,1357.86,1355.95
944790,9,2021-10-10,Shipped,Motorcycles,PC15442-5536,Yamaha GTS1000,43,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",35,35.4,1239,1293.78
944790,10,2021-10-10,Delivered,Motorcycles,PC32991-8650,Ducati 916,87,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",31,71.6,2219.6,1415.83
944790,11,2021-10-10,Shipped,Motorcycles,PC16520-4152,BMW K100RS,74,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",27,80.34,2169.18,2541.73
944790,12,2021-10-10,Delivered,Motorcycles,PC31395-5536,Britten V1000,109,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",23,102.05,2347.15,2414.72
944790,13,2021-10-10,Delivered,Motorcycles,PC19761-2076,Harley-Davidson XR-750,161,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",38,164.18,6238.84,7845.94
944790,14,2021-10-10,Shipped,Motorcycles,PC11746-1730,Honda GL1000 Gold Wing,102,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",49,106.23,5205.27,5835.7
944790,15,2021-10-10,Shipped,Motorcycles,PC11046-4152,Benelli Sei,120,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",44,121.72,5355.68,1131.99
944790,16,2021-10-10,Delivered,Motorcycles,PC32886-1730,Moto Guzzi Le Mans 1,207,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",22,187.85,4132.7,5509.84
944790,17,2021-10-10,Shipped,Motorcycles,PC14112-1730,Harley-Davidson XLCR,126,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",37,135.59,5016.83,5148.4
944790,18,2021-10-10,Delivered,Motorcycles,PC18375-3114,Suzuki Katana,64,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",42,51.48,2162.16,1652.4
945069,1,2021-10-18,Delivered,Automobiles,PC9569-3114,Maserati Quattroporte,57,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",45,51.21,2304.45,3265.28
945069,2,2021-10-18,Shipped,Automobiles,PC9394-3114,Mercedes McLaren SLR,109,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",48,91.44,4389.12,5226
945069,3,2021-10-18,Delivered,Automobiles,PC19565-3114,PT Cruiser,180,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",48,150.19,7209.12,10587.01
945069,4,2021-10-18,Shipped,Automobiles,PC14154-4152,Plymouth Prowler,47,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",43,36.29,1560.47,2302.48
945069,5,2021-10-18,Delivered,Automobiles,PC13559-4152,AMC Pacer,35,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",37,27.22,1007.14,650.08
945069,6,2021-10-18,Delivered,Automobiles,PC16275-3114,Woodie,136,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",38,113.15,4299.7,3341.52
945069,7,2021-10-18,Shipped,Automobiles,PC27783-4152,AMC Gremlin,44,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",37,38.98,1442.26,850.52
945069,8,2021-10-18,Delivered,Automobiles,PC15736-3114,Station Wagon,64,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",27,69.62,1879.74,1504.46
945069,9,2021-10-18,Shipped,Automobiles,PC12243-3114,Bugatti Veyron,182,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",29,178.5,5176.5,6966.62
945069,10,2021-10-18,Delivered,Automobiles,PC30863-3114,Ford Edsel,99,00972BBE,Enim Sit Corp.,418-6398 Donec Road,762033,Arequipa,Netherlands,Cora Gomez,1-973-791-6787,duis@outlook.com,"-38.1762574336, 99.5885843456",39,100.31,3912.09,5462.43
939396,1,2021-01-09,Delivered,Automobiles,PC19565-3114,PT Cruiser,180,03AFC2C9,Vivamus Rhoncus Corporation,Ap #476-5227 Magna Rd.,6839,ParanÃ¡,Ireland,Keiko Blair,1-637-517-3783,id@aol.ca,"68.3046142976, 46.0953581568",26,145.13,3773.38,5071.07
939396,2,2021-01-09,Shipped,Automobiles,PC14154-4152,Plymouth Prowler,47,03AFC2C9,Vivamus Rhoncus Corporation,Ap #476-5227 Magna Rd.,6839,ParanÃ¡,Ireland,Keiko Blair,1-637-517-3783,id@aol.ca,"68.3046142976, 46.0953581568",46,53.76,2472.96,1778.62
939396,3,2021-01-09,Cancelled,Automobiles,PC13559-4152,AMC Pacer,35,03AFC2C9,Vivamus Rhoncus Corporation,Ap #476-5227 Magna Rd.,6839,ParanÃ¡,Ireland,Keiko Blair,1-637-517-3783,id@aol.ca,"68.3046142976, 46.0953581568",45,31.2,1404,2118.69
939396,4,2021-01-09,Shipped,Automobiles,PC16275-3114,Woodie,136,03AFC2C9,Vivamus Rhoncus Corporation,Ap #476-5227 Magna Rd.,6839,ParanÃ¡,Ireland,Keiko Blair,1-637-517-3783,id@aol.ca,"68.3046142976, 46.0953581568",25,151.28,3782,1662.03
951393,2,2022-03-15,Cancelled,Mass Transit,PC10598-8650,Bullet Train,62,03AFC2C9,Vivamus Rhoncus Corporation,Ap #476-5227 Magna Rd.,6839,ParanÃ¡,Ireland,Keiko Blair,1-637-517-3783,id@aol.ca,"68.3046142976, 46.0953581568",43,52.14,2242.02,1792.9
951393,4,2022-03-15,Delivered,Mass Transit,PC22449-5536,Orient Express,66,03AFC2C9,Vivamus Rhoncus Corporation,Ap #476-5227 Magna Rd.,6839,ParanÃ¡,Ireland,Keiko Blair,1-637-517-3783,id@aol.ca,"68.3046142976, 46.0953581568",46,60.9,2801.4,3153.78
951393,7,2022-03-15,Delivered,Mass Transit,PC9744-8650,Kenworth T680,123,03AFC2C9,Vivamus Rhoncus Corporation,Ap #476-5227 Magna Rd.,6839,ParanÃ¡,Ireland,Keiko Blair,1-637-517-3783,id@aol.ca,"68.3046142976, 46.0953581568",34,116.91,3974.94,2757.37
960042,1,2022-11-05,Shipped,Mass Transit,PC32200-3114,VW Bus,130,03AFC2C9,Vivamus Rhoncus Corporation,Ap #476-5227 Magna Rd.,6839,ParanÃ¡,Ireland,Keiko Blair,1-637-517-3783,id@aol.ca,"68.3046142976, 46.0953581568",47,131.98,6203.06,7463.84
960042,2,2022-11-05,Shipped,Automobiles,PC23240-3114,Porsche 928,106,03AFC2C9,Vivamus Rhoncus Corporation,Ap #476-5227 Magna Rd.,6839,ParanÃ¡,Ireland,Keiko Blair,1-637-517-3783,id@aol.ca,"68.3046142976, 46.0953581568",33,91.27,3011.91,1650.68
942930,1,2021-07-16,Delivered,Automobiles,PC20643-3114,SUV,108,0F5C10AB,Vulputate Incorporated,Ap #430-4732 Morbi Ave,15341,Ulyanovsk Oblast,Turkey,Miriam Vance,1-822-207-7116,nulla.in@hotmail.edu,"-48.7480364032, 123.703290368",46,120.56,5545.76,1203.83
942930,2,2021-07-16,Delivered,Automobiles,PC21952-3114,Jaguar S-3,111,0F5C10AB,Vulputate Incorporated,Ap #430-4732 Morbi Ave,15341,Ulyanovsk Oblast,Turkey,Miriam Vance,1-822-207-7116,nulla.in@hotmail.edu,"-48.7480364032, 123.703290368",20,90.06,1801.2,1146.67
942930,3,2021-07-16,Delivered,Automobiles,PC20699-3114,Jeep CJ,66,0F5C10AB,Vulputate Incorporated,Ap #430-4732 Morbi Ave,15341,Ulyanovsk Oblast,Turkey,Miriam Vance,1-822-207-7116,nulla.in@hotmail.edu,"-48.7480364032, 123.703290368",20,71.2,1424,1090.06
942930,4,2021-07-16,Shipped,Automobiles,PC29806-4152,Mercedes-Benz 300SL Gullwing,104,0F5C10AB,Vulputate Incorporated,Ap #430-4732 Morbi Ave,15341,Ulyanovsk Oblast,Turkey,Miriam Vance,1-822-207-7116,nulla.in@hotmail.edu,"-48.7480364032, 123.703290368",29,112.97,3276.13,4266.06
942930,5,2021-07-16,Shipped,Automobiles,PC23240-3114,Porsche 928,106,0F5C10AB,Vulputate Incorporated,Ap #430-4732 Morbi Ave,15341,Ulyanovsk Oblast,Turkey,Miriam Vance,1-822-207-7116,nulla.in@hotmail.edu,"-48.7480364032, 123.703290368",30,103.18,3095.4,1822.8
942930,6,2021-07-16,Delivered,Automobiles,PC9569-3114,Maserati Quattroporte,57,0F5C10AB,Vulputate Incorporated,Ap #430-4732 Morbi Ave,15341,Ulyanovsk Oblast,Turkey,Miriam Vance,1-822-207-7116,nulla.in@hotmail.edu,"-48.7480364032, 123.703290368",49,43.13,2113.37,2922.36
